id,cnt
366,2402.0
367,1248.0
368,1416.0
369,1605.0
370,2423.0
371,2999.0
372,1635.0
373,2402.0
374,1872.0
375,2999.0
376,1650.0
377,2192.0
378,1917.0
379,959.0
380,986.0
381,986.0
382,2192.0
383,2302.0
384,1421.0
385,431.0
386,959.0
387,1000.0
388,1872.0
389,2999.0
390,2302.0
391,2192.0
392,2485.0
393,2132.0
394,754.0
395,2028.0
396,2808.0
397,3117.0
398,1795.0
399,2115.0
400,2252.0
401,801.0
402,1712.0
403,2808.0
404,1650.0
405,2423.0
406,1977.0
407,1098.0
408,986.0
409,1600.0
410,2056.0
411,2999.0
412,2121.0
413,2999.0
414,2132.0
415,801.0
416,754.0
417,2302.0
418,2808.0
419,3117.0
420,2744.0
421,2496.0
422,754.0
423,2046.0
424,2808.0
425,2121.0
426,3117.0
427,1461.0
428,2485.0
429,1623.0
430,1872.0
431,2210.0
432,2808.0
433,4864.0
434,1461.0
435,2496.0
436,2402.0
437,3744.0
438,3115.0
439,3944.0
440,4182.0
441,3126.0
442,4511.0
443,3351.0
444,3115.0
445,3115.0
446,4195.0
447,4182.0
448,3544.0
449,4511.0
450,2703.0
451,2703.0
452,2115.0
453,4456.0
454,4608.0
455,1461.0
456,795.0
457,801.0
458,2703.0
459,3267.0
460,4182.0
461,2475.0
462,2808.0
463,3126.0
464,3429.0
465,3429.0
466,2703.0
467,2999.0
468,2808.0
469,3126.0
470,5312.0
471,4660.0
472,4548.0
473,5020.0
474,3894.0
475,4608.0
476,4985.0
477,4714.0
478,801.0
479,1446.0
480,2633.0
481,4456.0
482,2659.0
483,4189.0
484,2455.0
485,3744.0
486,3204.0
487,4451.0
488,4182.0
489,3855.0
490,5312.0
491,1115.0
492,4191.0
493,4748.0
494,4563.0
495,2913.0
496,4608.0
497,4917.0
498,4714.0
499,5020.0
500,3348.0
501,4451.0
502,5180.0
503,3944.0
504,4917.0
505,5342.0
506,5020.0
507,3348.0
508,4451.0
509,4058.0
510,5180.0
511,5538.0
512,4758.0
513,4788.0
514,4098.0
515,4098.0
516,3574.0
517,4677.0
518,4727.0
519,5342.0
520,4660.0
521,4073.0
522,4748.0
523,4182.0
524,3944.0
525,4844.0
526,4758.0
527,4833.0
528,4649.0
529,4492.0
530,4677.0
531,4677.0
532,4844.0
533,5342.0
534,4660.0
535,4401.0
536,4548.0
537,4602.0
538,4541.0
539,4661.0
540,5191.0
541,3873.0
542,3805.0
543,5204.0
544,5515.0
545,4098.0
546,3846.0
547,5119.0
548,4541.0
549,4266.0
550,4266.0
551,4401.0
552,4541.0
553,4661.0
554,3285.0
555,3606.0
556,4708.0
557,4835.0
558,3805.0
559,3805.0
560,4040.0
561,4294.0
562,3785.0
563,4602.0
564,4541.0
565,4332.0
566,4266.0
567,4727.0
568,1842.0
569,3820.0
570,4342.0
571,4266.0
572,3805.0
573,4390.0
574,4661.0
575,5119.0
576,5302.0
577,4780.0
578,3805.0
579,3805.0
580,4266.0
581,4040.0
582,5119.0
583,4302.0
584,4649.0
585,4835.0
586,3574.0
587,4590.0
588,4040.0
589,1115.0
590,4334.0
591,3805.0
592,4098.0
593,3805.0
594,3805.0
595,1917.0
596,5345.0
597,4906.0
598,4010.0
599,4763.0
600,4785.0
601,5515.0
602,3542.0
603,1115.0
604,4906.0
605,3805.0
606,3805.0
607,4785.0
608,3805.0
609,4661.0
610,4294.0
611,4708.0
612,4940.0
613,4629.0
614,4266.0
615,4576.0
616,4991.0
617,1115.0
618,5046.0
619,4713.0
620,4826.0
621,4826.0
622,4839.0
623,4844.0
624,5345.0
625,5046.0
626,3348.0
627,4451.0
628,4826.0
629,4839.0
630,5312.0
631,5345.0
632,5511.0
633,3071.0
634,4826.0
635,5204.0
636,4727.0
637,3544.0
638,5409.0
639,5511.0
640,4195.0
641,1842.0
642,3767.0
643,4727.0
644,5312.0
645,5409.0
646,4381.0
647,2429.0
648,2566.0
649,4765.0
650,2566.0
651,2566.0
652,3068.0
653,5041.0
654,4401.0
655,3267.0
656,4189.0
657,2659.0
658,4352.0
659,5312.0
660,3071.0
661,3071.0
662,4826.0
663,4826.0
664,4352.0
665,4352.0
666,4511.0
667,3520.0
668,1607.0
669,3613.0
670,3740.0
671,2933.0
672,3577.0
673,2918.0
674,3663.0
675,3403.0
676,3523.0
677,3523.0
678,3669.0
679,3577.0
680,3068.0
681,4381.0
682,3071.0
683,3053.0
684,3523.0
685,3053.0
686,3577.0
687,3663.0
688,3485.0
689,2933.0
690,2933.0
691,3669.0
692,3485.0
693,2792.0
694,2743.0
695,2743.0
696,3669.0
697,3523.0
698,3523.0
699,3523.0
700,3053.0
701,2918.0
702,4067.0
703,3071.0
704,4456.0
705,2566.0
706,3523.0
707,3053.0
708,2429.0
709,2429.0
710,2566.0
711,3740.0
712,3523.0
713,3523.0
714,3523.0
715,3485.0
716,1495.0
717,3570.0
718,4068.0
719,3669.0
720,3740.0
721,1977.0
722,1472.0
723,754.0
724,1446.0
725,1650.0
726,431.0
727,1708.0
728,1977.0
729,1005.0
730,1472.0
731,431.0
