id,cnt
366,1862.7
367,1341.6
368,1466.1
369,1598.3
370,2300.8
371,2817.0
372,1904.4
373,2143.8
374,1593.8
375,2522.7
376,1866.4
377,1866.9
378,1955.1
379,1079.3
380,1002.4
381,1052.2
382,1837.9
383,2129.9
384,1537.0
385,1416.8
386,1027.9
387,1008.7
388,1578.2
389,2467.4
390,2173.2
391,1864.3
392,2094.6
393,2185.3
394,1055.2
395,1724.8
396,2387.5
397,3558.1
398,1935.8
399,2473.5
400,1617.8
401,1257.7
402,1787.0
403,2467.4
404,1739.4
405,2267.7
406,1919.5
407,975.9
408,959.4
409,1411.6
410,1972.0
411,2502.2
412,1998.5
413,2817.0
414,2185.3
415,1163.8
416,1230.2
417,2089.7
418,2290.4
419,3512.0
420,2094.6
421,1637.6
422,1055.2
423,1889.3
424,2467.4
425,1857.2
426,3702.0
427,1886.5
428,2170.6
429,1305.7
430,1858.6
431,2041.5
432,2407.7
433,4283.6
434,1760.1
435,1628.9
436,1988.3
437,3241.2
438,3390.9
439,3706.7
440,4140.6
441,2753.6
442,3777.1
443,3698.4
444,4008.0
445,3435.7
446,3780.2
447,4592.7
448,3659.7
449,3996.6
450,2892.6
451,2975.8
452,2417.7
453,4010.0
454,4061.5
455,1907.7
456,2461.7
457,1832.0
458,2835.1
459,3824.6
460,4462.1
461,2785.8
462,2657.0
463,3106.1
464,3991.1
465,3835.3
466,2975.8
467,2568.3
468,2697.9
469,2885.5
470,4734.5
471,4459.5
472,4783.7
473,5058.1
474,3540.6
475,4092.7
476,4881.8
477,4630.1
478,1236.1
479,1890.7
480,2718.6
481,4010.0
482,3310.8
483,4252.7
484,2297.2
485,3936.4
486,3314.8
487,3967.0
488,3848.7
489,3805.2
490,5188.4
491,3261.9
492,4356.8
493,3720.7
494,4387.7
495,3728.3
496,4092.7
497,4905.9
498,4630.1
499,4714.5
500,3842.8
501,3967.0
502,5102.5
503,4700.5
504,4641.7
505,4937.6
506,4637.7
507,3676.0
508,4221.0
509,3987.5
510,5028.0
511,4899.2
512,5106.4
513,4662.3
514,4008.0
515,4073.7
516,4182.5
517,5008.0
518,4275.2
519,4937.6
520,4459.5
521,4352.8
522,3947.6
523,3803.9
524,4395.9
525,5094.8
526,5018.1
527,4401.7
528,4705.5
529,4244.9
530,4961.5
531,5066.3
532,5094.8
533,5226.4
534,4459.5
535,4082.8
536,4746.2
537,4341.7
538,4353.6
539,4456.7
540,4957.9
541,4097.0
542,4535.5
543,5095.5
544,5088.5
545,4190.9
546,3642.0
547,4583.9
548,4091.3
549,4338.3
550,4528.0
551,4321.8
552,4353.6
553,4308.5
554,3317.1
555,3674.0
556,4738.4
557,4685.3
558,4780.8
559,4903.8
560,4196.9
561,4336.1
562,4119.5
563,4128.1
564,4497.9
565,4359.8
566,4362.6
567,4420.2
568,1876.4
569,4218.4
570,4664.9
571,4488.5
572,4780.8
573,4300.9
574,4414.3
575,4517.6
576,5131.6
577,4767.6
578,4294.3
579,4896.3
580,4353.1
581,4512.1
582,4299.6
583,4043.5
584,4700.3
585,4740.2
586,4318.1
587,4444.3
588,4196.9
589,2245.4
590,4689.9
591,4377.2
592,4227.9
593,4780.8
594,4903.8
595,2022.6
596,5338.5
597,4583.1
598,4217.3
599,5015.4
600,4986.7
601,5385.7
602,4200.7
603,2830.5
604,4614.1
605,4535.5
606,4820.7
607,5014.3
608,4903.8
609,4490.1
610,4338.8
611,4746.7
612,4636.2
613,4614.7
614,4431.0
615,4352.0
616,4941.0
617,3203.2
618,4698.7
619,4020.8
620,3840.8
621,4683.5
622,4819.9
623,5242.4
624,5453.4
625,4459.7
626,3823.7
627,4120.2
628,3998.2
629,4590.2
630,5056.1
631,5362.2
632,5267.5
633,4464.0
634,4067.9
635,4965.2
636,3981.3
637,3946.3
638,5402.6
639,5275.9
640,4127.7
641,2547.5
642,3963.5
643,3981.3
644,5150.4
645,5173.2
646,2975.0
647,2369.3
648,2913.8
649,4660.7
650,3615.9
651,3608.2
652,3317.2
653,5181.9
654,4139.2
655,4324.1
656,3616.4
657,3626.7
658,3260.8
659,5119.0
660,3710.0
661,4441.5
662,4575.7
663,4553.3
664,3481.1
665,3105.4
666,3717.6
667,4038.6
668,2143.2
669,3281.4
670,3522.7
671,3112.1
672,3771.7
673,3069.0
674,3511.4
675,3454.6
676,3429.4
677,3332.2
678,3864.2
679,3771.7
680,3413.9
681,3546.7
682,4635.1
683,3281.4
684,3491.2
685,3424.5
686,3806.7
687,3584.4
688,3509.0
689,3112.9
690,3174.5
691,3812.5
692,2502.8
693,3229.0
694,2481.3
695,2651.5
696,3706.8
697,3283.4
698,3512.5
699,3579.7
700,3724.6
701,3069.0
702,3233.6
703,3700.1
704,4453.0
705,3606.6
706,2962.4
707,3359.9
708,3268.2
709,3392.4
710,2919.9
711,3493.1
712,3327.8
713,3579.7
714,3601.0
715,3622.0
716,2991.4
717,3532.4
718,4071.5
719,3798.6
720,3473.2
721,1907.9
722,1354.0
723,1198.5
724,1588.7
725,1496.7
726,1283.4
727,1200.4
728,1871.3
729,1100.3
730,1054.8
731,1111.2
