id,cnt
366,1546.5531779349944
367,1055.105205547197
368,1442.3138726251468
369,1422.3522964547835
370,1885.675001425926
371,2184.525089162189
372,1902.2425731965816
373,1758.305299989298
374,1506.4180611564907
375,2072.030863251767
376,1816.029929085947
377,1767.7998862202462
378,1742.3759016214656
379,1330.8010498195931
380,1052.7147278932644
381,989.9967462331639
382,1922.032532460601
383,1937.4034922129458
384,1527.2124655140124
385,1380.8155138817972
386,1169.7238878345718
387,1061.6297709553385
388,1452.8916347905922
389,2072.030863251767
390,1951.2616577351055
391,1958.3610853073712
392,2366.6237148209552
393,1988.6366242258157
394,1281.1328814783276
395,1731.3574043647163
396,1921.8023074547625
397,3900.081146312456
398,1922.445886474848
399,2184.525089162189
400,1423.199203828155
401,1290.0479245404017
402,1745.215569886876
403,2150.6078619565073
404,1826.0595181139884
405,1937.4034922129458
406,1816.2764801984094
407,838.3907130083427
408,1052.7147278932644
409,1286.1730767146294
410,1843.4555337558606
411,2156.929456140633
412,1918.028442017251
413,2184.525089162189
414,1967.4457012586372
415,1290.0479245404017
416,1197.4823558548958
417,1866.36306484624
418,2237.892878861801
419,3479.2492517317746
420,2366.6237148209552
421,1590.7601708529048
422,1281.1328814783276
423,2010.230274406624
424,2072.030863251767
425,1918.028442017251
426,4061.1888326753547
427,1996.8519918344539
428,2133.38290211851
429,1610.0047166848915
430,1512.1904608332416
431,1839.3745807179016
432,2006.7009003436285
433,4185.67648013173
434,1871.2746422318078
435,1493.3482013886003
436,1775.3587324367397
437,3069.1618311412344
438,3912.878325390845
439,3976.2624958999436
440,4185.67648013173
441,2474.3759546578117
442,3387.468597871998
443,3172.1672202643585
444,3939.145399545002
445,4142.192819860762
446,3786.309722540198
447,4549.981975747917
448,3825.166255749041
449,3667.4919459520324
450,2574.6476266953814
451,2870.0743359368666
452,2475.688166199469
453,4307.904837073362
454,4441.825049612565
455,1879.500894320743
456,2634.633120021099
457,2618.3674845063997
458,3075.068510165365
459,3748.7509002996453
460,4549.981975747917
461,3105.5873203840965
462,2684.675964089576
463,3359.452696891115
464,4068.368983270884
465,4180.457420925234
466,3035.7681008092754
467,2545.50738577429
468,2729.934354952479
469,3290.9758123131624
470,4407.065811803097
471,4525.808687255935
472,4552.035064536191
473,4805.635698458378
474,3053.8982164712575
475,4124.149170146946
476,4549.240369058986
477,4620.776629158914
478,1564.7785044737443
479,2082.5911595777616
480,3079.4879586202937
481,4246.150825981202
482,3746.386525461405
483,3994.952203721275
484,1873.5063733688967
485,3819.6202017507994
486,3045.825125724475
487,3886.000431860771
488,4549.981975747917
489,3922.57464972159
490,4978.402738146886
491,4433.487707883414
492,4083.3582550939195
493,3944.417480389457
494,3720.390957278022
495,3461.216234136275
496,4124.149170146946
497,3651.1962235779924
498,4640.677139397046
499,4953.687681097932
500,3735.0034961576744
501,3886.000431860771
502,4834.039985415302
503,4408.905635592373
504,4428.371279399029
505,4709.014783473287
506,4953.687681097932
507,3803.341140233916
508,4280.452427448878
509,4231.328722532023
510,4834.039985415302
511,4879.6844136407
512,5182.393199494788
513,5027.2060282353805
514,4204.935670611917
515,4323.343318472946
516,4174.769257683336
517,4828.16007510688
518,4218.437203866328
519,4709.014783473287
520,4581.187104633801
521,4407.211419141666
522,3971.6983546384467
523,4320.667481278
524,4408.905635592373
525,4921.843273298199
526,4864.174031204165
527,4648.447142514153
528,4354.107646684635
529,4223.892962600191
